experiment,rmse,mae,bias,feature_count,purpose,timestamp_utc
RandomForest baseline,6.386355875079595,4.673174468497415,-1.7397074873835001,20,reference,2026-07-12T11:11:47+00:00
CatBoost safe features,4.138974396363703,3.2489580715218453,-1.35530969745698,20,model effect,2026-07-12T11:11:47+00:00
CatBoost diagnosis features,3.8492788643578386,3.0433717758635277,-1.3826010621733218,36,feature effect,2026-07-12T11:11:47+00:00
CatBoost diagnosis + causal calibration,3.757400556610246,2.943115035831082,-0.3218553434319584,36,calibration effect,2026-07-12T11:11:47+00:00
CatBoost diagnosis without direct meter identity,10.487045494954014,8.054598036598435,-1.459298626050673,34,identity stress test,2026-07-12T11:11:47+00:00
