feature,importance
meter_id,35.01838629501913
region,12.638141599352599
voltage_v_past_mean_4,9.326379926976715
customer_type,8.026593674855214
hour_cos,7.9791126381846
voltage_v,6.434638797138478
hour,5.59810096177027
temperature_c,3.977198124392677
planned_maintenance,2.9419766569485124
is_weekend,1.4044620185547336
elapsed_days,1.2902763362347651
dayofweek,1.2093953561436346
hour_sin,1.025096569694939
voltage_v_lag_1,0.7629536646894258
temperature_c_past_mean_4,0.6741789029184707
humidity_pct_lag_1,0.5039939065495318
temperature_c_lag_1,0.3903627906423555
humidity_pct_past_mean_4,0.37440839505542733
humidity_pct,0.34026628573523804
month,0.08407709914330859
